"registration_area","count_uniq_patient_6_packet_2021","count_uniq_patient_stent_2021","count_uniq_patient_6_packet_2022","count_uniq_patient_stent_2022","count_uniq_patient_6_packet_2023","count_uniq_patient_stent_2023"
"ВІННИЦЬКА","835","587","981","779","1117","886"
"ВОЛИНСЬКА","659","399","760","573","800","494"
"ДНІПРОПЕТРОВСЬКА","1950","1066","2451","1564","3229","2002"
"ДОНЕЦЬКА","762","566","154","133",NULL,NULL
"ЖИТОМИРСЬКА","440","284","732","557","943","728"
"ЗАКАРПАТСЬКА","665","482","824","641","904","659"
"ЗАПОРІЗЬКА","1239","786","1193","789","1544","944"
"ІВАНО-ФРАНКІВСЬКА","741","425","1073","714","1117","834"
"КИЇВСЬКА","683","425","624","455","1865","988"
"КІРОВОГРАДСЬКА","570","284","645","370","837","531"
"ЛУГАНСЬКА","111","11","0","0",NULL,NULL
"ЛЬВІВСЬКА","1931","1017","2414","1576","2757","1718"
"МИКОЛАЇВСЬКА","415","301","439","330","751","503"
"М.КИЇВ","1086","656","2076","1386","2473","1589"
"ОДЕСЬКА","1099","832","1590","1151","1972","1398"
"ПОЛТАВСЬКА","950","762","1166","1012","1337","1122"
"РІВНЕНСЬКА","730","399","855","675","957","734"
"СУМСЬКА","721","527","790","631","744","587"
"ТЕРНОПІЛЬСЬКА","401","265","528","440","670","557"
"ХАРКІВСЬКА","1420","1004","638","503","1688","1210"
"ХЕРСОНСЬКА","402","196","143","90","231","121"
"ХМЕЛЬНИЦЬКА","708","534","940","781","1257","961"
"ЧЕРКАСЬКА","945","681","1084","788","1198","925"
"ЧЕРНІВЕЦЬКА","742","370","849","579","1172","702"
"ЧЕРНІГІВСЬКА","659","371","502","391","735","553"
